Altium Designer Pick and Place Locations
C:\Users\Admin\Desktop\Layout\Mach dieu khien tu xa\Project Outputs for Mach dieu khien tu xa\Pick Place for Mach dieu khien tu xa.csv

========================================================================================================================
File Design Information:

Date:       04/07/23
Time:       22:46
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"Designator6","TopLayer","140.4000","2.4000","0"
"Designator5","TopLayer","140.4000","67.4000","0"
"Designator4","TopLayer","2.5000","67.4000","0"
"Designator3","TopLayer","2.5000","2.4000","0"
"IC3","TopLayer","46.9900","57.1500","0"
"C9","TopLayer","49.3550","49.1650","270"
"Q1","TopLayer","16.0175","45.4025","180"
"X1","TopLayer","76.6245","25.6820","270"
"U3","TopLayer","84.9150","13.3350","270"
"U2","TopLayer","84.9150","17.1450","270"
"U1","TopLayer","84.5975","28.8925","90"
"SW1","TopLayer","68.0875","25.4000","270"
"SP1","TopLayer","128.0950","57.7850","270"
"RL1","TopLayer","118.5700","34.2900","0"
"R17","TopLayer","103.9650","33.9725","90"
"R16","TopLayer","111.5850","48.8950","0"
"R15","TopLayer","15.3825","50.8254","0"
"R14","TopLayer","115.3950","66.6750","0"
"R13","TopLayer","115.3950","44.7675","180"
"R12","TopLayer","103.9650","17.4625","90"
"R11","TopLayer","91.5825","10.7950","0"
"R10","TopLayer","78.8825","10.7950","180"
"R9","TopLayer","105.8700","6.3500","180"
"R8","TopLayer","101.4250","17.4625","270"
"R7","TopLayer","107.7750","17.4625","90"
"R6","TopLayer","79.2000","17.6213","180"
"R5","TopLayer","86.5025","20.3200","0"
"R4","TopLayer","83.3275","20.3200","180"
"R3","BottomLayer","79.8350","30.4800","90"
"R2","TopLayer","107.4575","62.8650","270"
"R1","TopLayer","107.7750","53.3400","270"
"Q3","TopLayer","117.9350","53.9750","0"
"Q2","TopLayer","105.2350","23.4950","0"
"LED3","TopLayer","103.9650","43.8150","270"
"LED2","TopLayer","103.9650","62.8650","270"
"LED1","TopLayer","103.9650","53.4988","270"
"IC7","TopLayer","51.8950","10.4775","270"
"IC6","TopLayer","36.5125","14.6050","0"
"IC5","TopLayer","32.8450","53.4823","270"
"IC4","TopLayer","16.1925","57.1500","0"
"IC2","TopLayer","103.9650","11.4300","270"
"IC1","TopLayer","107.7750","11.4300","90"
"HD10","TopLayer","136.0325","28.5350","90"
"HD9","TopLayer","9.8300","36.3975","270"
"HD8","TopLayer","136.0325","40.2825","90"
"HD7","TopLayer","90.6300","5.7150","0"
"HD6","TopLayer","79.8350","5.7150","0"
"HD5","TopLayer","81.1965","65.2500","180"
"HD4","TopLayer","81.1965","56.4870","180"
"HD3","TopLayer","92.8525","26.3525","90"
"HD2","TopLayer","68.0875","5.7150","0"
"HD1","TopLayer","76.6600","37.1475","90"
"F1","TopLayer","23.1650","15.0850","90"
"D2","TopLayer","107.7750","34.2900","90"
"D1","TopLayer","9.9850","15.2400","270"
"C22","TopLayer","59.5150","15.8750","270"
"C21","TopLayer","43.4975","15.5575","270"
"C20","TopLayer","28.7175","6.3500","90"
"C19","TopLayer","59.5150","5.7150","270"
"C18","TopLayer","42.6875","6.0325","270"
"C17","TopLayer","33.7975","6.3500","270"
"C16","TopLayer","34.3725","36.1950","0"
"C15","TopLayer","39.5125","58.4200","270"
"C14","TopLayer","23.6375","58.4200","270"
"C13","TopLayer","7.4450","58.4200","270"
"C12","TopLayer","39.5125","48.8950","270"
"C11","TopLayer","23.6375","49.8475","270"
"C10","TopLayer","7.4450","50.1650","270"
"C8","TopLayer","110.3150","17.4625","90"
"C7","TopLayer","92.8525","14.2875","180"
"C6","BottomLayer","70.3100","25.4000","90"
"C5","TopLayer","92.8525","17.1450","0"
"C4","TopLayer","89.6775","23.1775","90"
"C3","BottomLayer","74.7550","23.9713","270"
"C2","BottomLayer","89.6775","27.3050","90"
"C1","BottomLayer","74.7550","27.4638","90"
